Sno,Position,LINK,CAMPUS,REQUIREMENT,REDIRECT_TO,ASPECT_RATIO,SOURCE_FILE,REMARKS
1,Navbar – Logo,https://jct1.teammistake.com/site_assests/logo.svg,all,image,,3:1,site.ts,"Need header logo. SVG preferred. Transparent background. ~160×48px"
2,Navbar – Logo click,https://jct1.teammistake.com/,all,redirect,/,–,navigation.ts,"On click → goes to Home page"
3,Navbar – Apply Now button,–,all,redirect,/admissions/apply,–,navigation.ts,"Sticky CTA in top-right. On click → goes to Apply Now form"
4,Footer – Logo,https://jct1.teammistake.com/site_assests/footer-logo.png,all,image,,3:1,site.ts,"Footer logo. PNG/SVG. ~160×48px. Currently no clear footer-only variant"
5,Footer – Facebook icon,https://jct1.teammistake.com/,all,redirect,https://facebook.com/jctinstitutions,1:1,site.ts,"On click → opens JCT Facebook page in new tab"
6,Footer – Instagram icon,https://jct1.teammistake.com/,all,redirect,https://instagram.com/jctinstitutions,1:1,site.ts,"On click → opens JCT Instagram page"
7,Footer – Twitter/X icon,https://jct1.teammistake.com/,all,redirect,https://x.com/jctinstitutions,1:1,site.ts,"On click → opens JCT Twitter page"
8,Footer – LinkedIn icon,https://jct1.teammistake.com/,all,redirect,https://linkedin.com/school/jctinstitutions,1:1,site.ts,"On click → opens JCT LinkedIn page"
9,Footer – YouTube icon,https://jct1.teammistake.com/,all,redirect,https://youtube.com/@jctinstitutions,1:1,site.ts,"On click → opens JCT YouTube channel"
10,Footer – Google Map embed,https://www.google.com/maps?q=JCT+Institutions+Knowledge+Park+Pichanur+Coimbatore+641105&output=embed,all,image,,16:9,site.ts,"Embedded map of campus. 600×400px iframe. Needs internet to load"
11,Footer – View on Google Maps,–,all,redirect,https://maps.google.com/?q=JCT+Institutions+Knowledge+Park+Pichanur+Coimbatore+641105,–,site.ts,"On click → opens Google Maps with campus location"
12,Footer – Address text,–,all,content,–,–,site.ts,"Velandhavalam Main Road, Pichanur, Coimbatore - 641105, TamilNadu — needs to be confirmed on site"
13,Footer – Phone number,–,all,content,–,–,site.ts,"+91 93614 88801 — confirm this number is active and correct"
14,Footer – Alt phone,–,all,content,–,–,site.ts,"+91 422 264 5566 — confirm this is still valid"
15,Footer – Email,–,all,content,–,–,site.ts,"info@jct.ac.in — confirm inbox is monitored"
16,Footer – Admissions email,–,all,content,–,–,site.ts,"admissions@jct.ac.in — confirm inbox is monitored"
17,Footer – Counselling code,–,all,content,–,–,site.ts,"Code: 2769 — verify this is current year's counselling code"
18,Footer – Copyright text,–,all,content,–,–,site.ts,"© 2026 JCT Institutions. All rights reserved — confirm year auto-updates"
19,Floating – WhatsApp button icon,https://jct1.teammistake.com/site_assests/phone-ywl.svg,all,image,,1:1,site.ts,"WhatsApp floating bubble icon. SVG. 56×56px. Needs good contrast"
20,Floating – WhatsApp button click,–,all,redirect,https://wa.me/919361444408,–,site.ts,"On click → opens WhatsApp chat with JCT admissions number"
21,Floating – Chatbot button icon,–,all,image,,1:1,ChatbotButton.tsx,"Robot/chat icon. 56×56px. Animated on hover"
22,Floating – Chatbot button click,–,all,redirect,(opens chatbot panel),–,ChatbotButton.tsx,"On click → opens chatbot popup panel from bottom-left"
23,Home – Hero slide 1,https://jct1.teammistake.com/site_assests/banner2.jpeg,landing,image,,16:9,home.ts,"Main homepage hero background. 1920×1080px. WebP preferred. Under 400KB"
24,Home – Hero slide 2,https://jct1.teammistake.com/site_assests/future-banner.webp,landing,image,,16:9,home.ts,"Second auto-sliding hero background. 1920×1080px. WebP"
25,Home – Hero slide 3,https://jct1.teammistake.com/site_assests/facility-bg.jpg.jpeg,landing,image,,16:9,home.ts,"Third hero slide — facility view. 1920×1080px. Currently JPEG inside JPEG filename — needs re-export"
26,Home – Hero heading,–,landing,content,–,–,home.ts,"Text: One Campus. / Three Pathways. / Unlimited Futures. — confirm final approved copy"
27,Home – Hero CTA 1,–,landing,redirect,/admissions/apply,–,home.ts,"Apply Now primary button. On click → goes to admissions apply page"
28,Home – Hero CTA 2,–,landing,redirect,/#admissions,–,home.ts,"Enquire Admissions secondary button. On click → scrolls to admissions section"
29,Home – Trust badge: NAAC Accredited,–,landing,content,–,–,home.ts,"Badge label only (icon + text). Confirm NAAC grade to show (Grade A)"
30,Home – Trust badge: 100+ Recruiters,–,landing,content,–,–,home.ts,"Stat badge. Confirm latest recruiter count"
31,Home – Trust badge: 10000+ Students,–,landing,content,–,–,home.ts,"Stat badge. Confirm current enrollment total"
32,Home – Trust badge: 95% Placement,–,landing,content,–,–,home.ts,"Stat badge. Note: placements.ts says 96% — pick one consistent number"
33,Home – Engineering card image,https://jct1.teammistake.com/site_assests/engineering.jpeg,landing,image,,3:2,site.ts,"Engineering institution card photo. 400×267px. WebP preferred"
34,Home – Engineering card – Explore,–,landing,redirect,/institutions/engineering,–,home.ts,"On click → goes to Engineering college page"
35,Home – Arts & Science card image,https://jct1.teammistake.com/site_assests/arts.jpeg,landing,image,,3:2,site.ts,"Arts & Science card photo. 400×267px. WebP preferred"
36,Home – Arts card – Explore,–,landing,redirect,/institutions/arts-science,–,home.ts,"On click → goes to Arts & Science page"
37,Home – Polytechnic card image,https://jct1.teammistake.com/site_assests/polytechnic.jpeg,landing,image,,3:2,site.ts,"Polytechnic card photo. 400×267px. WebP preferred"
38,Home – Polytechnic card – Explore,–,landing,redirect,/institutions/polytechnic,–,home.ts,"On click → goes to Polytechnic page"
39,Home – Stat: Years of Excellence,–,landing,content,–,–,site.ts,"15 Years of Excellence — confirm if this is 2024 or 2026"
40,Home – Stat: Students,–,landing,content,–,–,site.ts,"5000+ Students — confirm current enrollment"
41,Home – Stat: Faculty,–,landing,content,–,–,site.ts,"300+ Faculty Members — confirm current count"
42,Home – Stat: Recruiters,–,landing,content,–,–,site.ts,"200+ Recruiters — confirm latest number"
43,Home – Stat: Alumni,–,landing,content,–,–,site.ts,"12000+ Alumni — confirm count"
44,Home – Stat: Programs,–,landing,content,–,–,site.ts,"50+ Programs — confirm exact count"
45,Home – Placements section heading,–,landing,content,–,–,placements.ts,"Training & Placement Cell — heading text for home page section"
46,Home – Placement stat: Rate,–,landing,content,–,–,placements.ts,"96% Placement Rate — 2023-24 Batch. Confirm this is latest year"
47,Home – Placement stat: Highest Package,–,landing,content,–,–,placements.ts,"12 LPA Highest Package — confirm if still current"
48,Home – Placement stat: Recruiters,–,landing,content,–,–,placements.ts,"200+ Recruiters — confirm matches site.ts value"
49,Home – Placement stat: Students Placed,–,landing,content,–,–,placements.ts,"450 placed out of 470 eligible — 2023-24"
50,Home – Recruiter logo: TCS,https://jct1.teammistake.com/company_logo/tcs.png,landing,image,,1:1,placements.ts,"TCS logo in recruiter strip. 120×60px. PNG transparent. Confirm file exists"
51,Home – Recruiter logo: Infosys,https://jct1.teammistake.com/company_logo/infosys.png,landing,image,,1:1,placements.ts,"Infosys logo. 120×60px. PNG transparent. Confirm file exists"
52,Home – Recruiter logo: Wipro,https://jct1.teammistake.com/company_logo/wipro.png,landing,image,,1:1,placements.ts,"Wipro logo. 120×60px. PNG transparent. Confirm file exists"
53,Home – Recruiter logo: Cognizant,https://jct1.teammistake.com/company_logo/cognizant.png,landing,image,,1:1,placements.ts,"Cognizant logo. Confirm file exists in /company_logo/"
54,Home – Recruiter logo: HCL,https://jct1.teammistake.com/company_logo/hcl.png,landing,image,,1:1,placements.ts,"HCL Technologies logo. Confirm file exists"
55,Home – Recruiter logo: Zoho,https://jct1.teammistake.com/company_logo/zoho.png,landing,image,,1:1,placements.ts,"Zoho logo. Confirm file exists"
56,Home – Recruiter names (scrolling strip),–,landing,content,–,–,placements.ts,"25 companies: TCS · Infosys · Wipro · Cognizant · HCL · Zoho · Freshworks · L&T · Ashok Leyland · TVS · Hyundai · TATA · Accenture · Capgemini · Tech Mahindra · Mphasis · Mindtree · Robert Bosch · Siemens · Amazon · Flipkart · Byju's · CTS · DXC Technology · IBM — confirm list is up to date"
57,Home – Accreditation: NAAC badge,https://jct1.teammistake.com/naac.png,landing,image,,1:1,site.ts,"NAAC badge. 80×80px. PNG transparent. File path /naac.png must exist in /public/"
58,Home – Accreditation: NBA badge,https://jct1.teammistake.com/nba.png,landing,image,,1:1,site.ts,"NBA badge. File /nba.png must exist in /public/"
59,Home – Accreditation: AICTE badge,https://jct1.teammistake.com/aicte.png,landing,image,,1:1,site.ts,"AICTE badge. File /aicte.png must exist in /public/"
60,Home – Accreditation: ISO badge,https://jct1.teammistake.com/iso.png,landing,image,,1:1,site.ts,"ISO 9001:2015 badge. File /iso.png must exist"
61,Home – Accreditation: Anna University badge,https://jct1.teammistake.com/anna.png,landing,image,,1:1,site.ts,"Anna University affiliation badge. File /anna.png must exist"
62,Home – Accreditation: Bharathiar badge,https://jct1.teammistake.com/bharathiar_university.png,landing,image,,1:1,site.ts,"Bharathiar University badge. File path must exist"
63,Home – Accreditation: UGC badge,https://jct1.teammistake.com/ugc.png,landing,image,,1:1,site.ts,"UGC badge. File must exist"
64,Home – Accreditation: DOTE badge,https://jct1.teammistake.com/dote.png,landing,image,,1:1,site.ts,"DOTE approval badge. File must exist"
65,Home – Testimonial photo: Harish V.,https://jct1.teammistake.com/site_assests/2.jpeg,landing,image,,1:1,engineering.ts,"Alumni photo. 80×80px circle crop. JPEG. Check face is clearly visible"
66,Home – Testimonial text: Harish V.,–,landing,content,–,–,engineering.ts,"Harish V. — Software Engineer at Infosys — Alumni. Quote: Our final-year project was reviewed by industry mentors... — confirm this person approved the quote"
67,Home – Testimonial photo: Keerthana M.,https://jct1.teammistake.com/site_assests/3.jpeg,landing,image,,1:1,engineering.ts,"Student photo. 80×80px. Confirm person & quote approved"
68,Home – Testimonial text: Keerthana M.,–,landing,content,–,–,engineering.ts,"Keerthana M. — Graduate Engineer Trainee at Caterpillar — Quote: placement training and mock interviews made a huge difference"
69,Home – Testimonial photo: R. Suresh,https://jct1.teammistake.com/site_assests/8.jpg.jpeg,landing,image,,1:1,engineering.ts,"Industry partner VIP photo. 80×80px. Filename has double extension — re-export needed"
70,Home – Testimonial text: R. Suresh,–,landing,content,–,–,engineering.ts,"R. Suresh — Senior Manager, Industry Partner — Quote: JCT students stand out for practical clarity"
71,About – Chairman photo,https://jct1.teammistake.com/site_assests/banner2.jpg.jpeg,landing,image,,1:1,about.ts,"Dr. R. Jayaraman — Chairman photo. Currently using banner2 as placeholder — needs a proper portrait photo. 400×500px"
72,About – Chairman name & title,–,landing,content,–,–,about.ts,"Dr. R. Jayaraman — Chairman, JCT Group of Institutions — confirm correct title"
73,About – Principal photo,https://jct1.teammistake.com/site_assests/banner3.jpg.jpeg,landing,image,,1:1,about.ts,"Dr. S. Karthikeyan — Principal photo. Using banner3 as placeholder — needs a proper portrait. 400×500px"
74,About – Principal name & title,–,landing,content,–,–,about.ts,"Dr. S. Karthikeyan — Principal, JCT College of Engineering & Technology — confirm"
75,About – Vision text,–,landing,content,–,–,about.ts,"Vision: To be a globally recognized centre of excellence... — confirm this is the board-approved vision statement"
76,About – Mission points (5),–,landing,content,–,–,about.ts,"5 mission statements listed — confirm all are current and approved"
77,About – Core Value: Excellence,–,landing,content,–,–,about.ts,"Excellence — Striving for the highest standards — confirm copy is approved"
78,About – Core Value: Integrity,–,landing,content,–,–,about.ts,"Integrity — Upholding ethical principles — confirm approved"
79,About – Core Value: Innovation,–,landing,content,–,–,about.ts,"Innovation — Encouraging creative thinking — confirm approved"
80,About – Core Value: Inclusivity,–,landing,content,–,–,about.ts,"Inclusivity — Embracing diversity — confirm approved"
81,About – Core Value: Service,–,landing,content,–,–,about.ts,"Service — Contributing to society — confirm approved"
82,Eng – Hero banner,https://jct1.teammistake.com/site_assests/engineering.jpeg,eng,image,,16:9,engineering.ts,"Engineering college hero/banner. 1920×600px. WebP. Current file is small JPEG — needs high-res version"
83,Eng – Page title,–,eng,content,–,–,engineering.ts,"JCT College of Engineering & Technology — confirm exact institution name"
84,Eng – Stat: Placement Rate,–,eng,content,–,–,engineering.ts,"92% — Placement Rate — 2023-24 Batch — note: home page shows 96%. Align the two numbers"
85,Eng – Stat: Highest Package,–,eng,content,–,–,engineering.ts,"₹8.4L — Highest Package — On-campus — confirm latest figure"
86,Eng – Stat: Recruiters,–,eng,content,–,–,engineering.ts,"45+ Recruiters visiting annually — confirm"
87,Eng – Stat: Offers Made,–,eng,content,–,–,engineering.ts,"500+ Offers in last 3 years — confirm"
88,Eng – Stat: Lab Access,–,eng,content,–,–,engineering.ts,"100% Lab Access — Industry-grade — confirm"
89,Eng – Stat: Patents Filed,–,eng,content,–,–,engineering.ts,"25+ Patents — Faculty & Students — confirm current count"
90,Eng – UG Course 1: CSE photo,https://jct1.teammistake.com/site_assests/computer-img1.jpg.jpeg,eng,image,,3:2,engineering.ts,"CSE course card photo. 400×267px. NBA Accredited badge shown on card. Filename has double extension"
91,Eng – UG Course 1: CSE content,–,eng,content,–,–,engineering.ts,"Computer Science & Engineering · CSE · 120 seats · NBA Accredited · AI/ML Software Engineering Cloud Computing"
92,Eng – UG Course 1: CSE link,–,eng,redirect,/institutions/engineering/cse,–,engineering.ts,"On click on card → goes to CSE department detail page"
93,Eng – UG Course 2: AI&DS photo,https://jct1.teammistake.com/site_assests/course-img1.webp,eng,image,,3:2,engineering.ts,"AI & Data Science course card. 400×267px. WebP"
94,Eng – UG Course 2: AI&DS content,–,eng,content,–,–,engineering.ts,"Artificial Intelligence & Data Science · AI&DS · 60 seats · B.Tech program"
95,Eng – UG Course 2: AI&DS link,–,eng,redirect,/institutions/engineering/aids,–,engineering.ts,"On click → goes to AI&DS department page"
96,Eng – UG Course 3: CSBS photo,https://jct1.teammistake.com/site_assests/course-img2.webp,eng,image,,3:2,engineering.ts,"CSBS course card. 400×267px. WebP"
97,Eng – UG Course 3: CSBS content,–,eng,content,–,–,engineering.ts,"Computer Science & Business Systems · CSBS · 60 seats · B.E."
98,Eng – UG Course 3: CSBS link,–,eng,redirect,/institutions/engineering/csbs,–,engineering.ts,"On click → CSBS department page"
99,Eng – UG Course 4: ECE photo,https://jct1.teammistake.com/site_assests/course-img3.webp,eng,image,,3:2,engineering.ts,"ECE course card. 400×267px. NBA Accredited badge"
100,Eng – UG Course 4: ECE content,–,eng,content,–,–,engineering.ts,"Electronics & Communication Engineering · ECE · 60 seats · NBA Accredited"
101,Eng – UG Course 4: ECE link,–,eng,redirect,/institutions/engineering/ece,–,engineering.ts,"On click → ECE department page"
102,Eng – UG Course 5: EEE photo,https://jct1.teammistake.com/site_assests/eee-img.jpg.jpeg,eng,image,,3:2,engineering.ts,"EEE course card. 400×267px. NBA Accredited. Filename double extension"
103,Eng – UG Course 5: EEE content,–,eng,content,–,–,engineering.ts,"Electrical & Electronics Engineering · EEE · 60 seats · NBA Accredited"
104,Eng – UG Course 5: EEE link,–,eng,redirect,/institutions/engineering/eee,–,engineering.ts,"On click → EEE department page"
105,Eng – UG Course 6: MECH photo,https://jct1.teammistake.com/site_assests/mech-img.jpg.jpeg,eng,image,,3:2,engineering.ts,"Mech course card. 400×267px. NBA Accredited"
106,Eng – UG Course 6: MECH content,–,eng,content,–,–,engineering.ts,"Mechanical Engineering · MECH · 60 seats · NBA Accredited"
107,Eng – UG Course 6: MECH link,–,eng,redirect,/institutions/engineering/mech,–,engineering.ts,"On click → Mech department page"
108,Eng – UG Course 7: Civil photo,https://jct1.teammistake.com/site_assests/civil-img-1.jpg.jpeg,eng,image,,3:2,engineering.ts,"Civil Engineering course card. 400×267px"
109,Eng – UG Course 7: Civil content,–,eng,content,–,–,engineering.ts,"Civil Engineering · CE · 60 seats · Structural, Construction, Environmental"
110,Eng – UG Course 7: Civil link,–,eng,redirect,/institutions/engineering/ce,–,engineering.ts,"On click → Civil department page"
111,Eng – UG Course 8: BioTech photo,https://jct1.teammistake.com/site_assests/bio-lab-img.jpg.jpeg,eng,image,,3:2,engineering.ts,"Biotech course card. 400×267px"
112,Eng – UG Course 8: BioTech content,–,eng,content,–,–,engineering.ts,"Bio-Technology & Bio-Chemical Engineering · BT · 60 seats"
113,Eng – UG Course 8: BioTech link,–,eng,redirect,/institutions/engineering/bt,–,engineering.ts,"On click → BioTech department page"
114,Eng – UG Course 9: Food Tech photo,https://jct1.teammistake.com/site_assests/food-img-1.jpg.jpeg,eng,image,,3:2,engineering.ts,"Food Technology course card. 400×267px"
115,Eng – UG Course 9: Food Tech content,–,eng,content,–,–,engineering.ts,"Food Technology · FT · 60 seats · Processing, Safety, Quality"
116,Eng – UG Course 9: Food Tech link,–,eng,redirect,/institutions/engineering/ft,–,engineering.ts,"On click → Food Tech department page"
117,Eng – UG Course 10: Petroleum photo,https://jct1.teammistake.com/site_assests/petoleum-img.jpg.jpeg,eng,image,,3:2,engineering.ts,"Petroleum Eng card. Note typo in filename: 'petoleum' → rename to petroleum-img"
118,Eng – UG Course 10: Petroleum content,–,eng,content,–,–,engineering.ts,"Petroleum Engineering · PE · 60 seats · Reservoir Studies, Drilling"
119,Eng – UG Course 10: Petroleum link,–,eng,redirect,/institutions/engineering/pe,–,engineering.ts,"On click → Petroleum department page"
